what flights leave atlanta at about DIGIT in the afternoon and arrive in san francisco  ,<NOTABLE> <NOTABLE> <NOTABLE> B-city_name <NOTABLE> B-about B-integer <NOTABLE> <NOTABLE> B-period_of_day <NOTABLE> <NOTABLE> <NOTABLE> B-city_name I-city_name  ,O O O B-fromloc.city_name O B-depart_time.time_relative B-depart_time.time O O B-depart_time.period_of_day O O O B-toloc.city_name I-toloc.city_name  
what is the abbreviation for canadian airlines international  ,<NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> B-airline_name I-airline_name I-airline_name  ,O O O O O B-airline_name I-airline_name I-airline_name  
i 'd like to know the earliest flight from boston to atlanta  ,<NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> B-flight_mod <NOTABLE> <NOTABLE> B-city_name <NOTABLE> B-city_name  ,O O O O O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name  
show me the us air flights from atlanta to boston  ,<NOTABLE> <NOTABLE> <NOTABLE> B-airline_name I-airline_name <NOTABLE> <NOTABLE> B-city_name <NOTABLE> B-city_name  ,O O O B-airline_name I-airline_name O O B-fromloc.city_name O B-toloc.city_name  
show me the cheapest round trips from dallas to baltimore  ,<NOTABLE> <NOTABLE> <NOTABLE> B-cost_relative B-round_trip I-round_trip <NOTABLE> B-city_name <NOTABLE> B-city_name  ,O O O B-cost_relative B-round_trip I-round_trip O B-fromloc.city_name O B-toloc.city_name  
i 'd like to see all flights from denver to philadelphia  ,<NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> B-city_name <NOTABLE> B-city_name  ,O O O O O O O O B-fromloc.city_name O B-toloc.city_name  
explain fare code qx  ,<NOTABLE> <NOTABLE> <NOTABLE> B-fare_basis_code  ,O O O B-fare_basis_code  
i 'd like a united airlines flight on wednesday from san francisco to boston  ,<NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> B-airline_name I-airline_name <NOTABLE> <NOTABLE> B-day_name <NOTABLE> B-city_name I-city_name <NOTABLE> B-city_name  ,O O O O B-airline_name I-airline_name O O B-depart_date.day_name O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name  
what is the price of american airlines flight DIGITDIGIT from new york to los angeles  ,<NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> B-airline_name I-airline_name <NOTABLE> B-integer <NOTABLE> B-city_name I-city_name <NOTABLE> B-city_name I-city_name  ,O O O O O B-airline_name I-airline_name O B-flight_number O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name  
what does the meal code s stand for  ,<NOTABLE> <NOTABLE> <NOTABLE> B-meal <NOTABLE> B-meal_code <NOTABLE> <NOTABLE>  ,O O O B-meal O B-meal_code O O  
what are all flights to denver from philadelphia on sunday  ,<NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> B-city_name <NOTABLE> B-city_name <NOTABLE> B-day_name  ,O O O O O B-toloc.city_name O B-fromloc.city_name O B-depart_date.day_name  
what times does the late afternoon flight leave from washington for denver  ,<NOTABLE> B-times <NOTABLE> <NOTABLE> B-period_of_day I-period_of_day <NOTABLE> <NOTABLE> <NOTABLE> B-city_name <NOTABLE> B-city_name  ,O B-flight_time O O B-depart_time.period_of_day I-depart_time.period_of_day O O O B-fromloc.city_name O B-toloc.city_name  
what flights are available monday from san francisco to pittsburgh  ,<NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> B-day_name <NOTABLE> B-city_name I-city_name <NOTABLE> B-city_name  ,O O O O B-depart_date.day_name O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name  
what airlines have business class  ,<NOTABLE> <NOTABLE> <NOTABLE> B-class_type I-class_type  ,O O O B-class_type I-class_type  
flights from atlanta to washington dc  ,<NOTABLE> <NOTABLE> B-city_name <NOTABLE> B-city_name B-state_code  ,O O B-fromloc.city_name O B-toloc.city_name B-toloc.state_code  
from new york to toronto on thursday morning  ,<NOTABLE> B-city_name I-city_name <NOTABLE> B-city_name <NOTABLE> B-day_name B-period_of_day  ,O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name B-depart_time.period_of_day  
show me all the direct flights from atlanta to baltimore  ,<NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> B-direct <NOTABLE> <NOTABLE> B-city_name <NOTABLE> B-city_name  ,O O O O B-connect O O B-fromloc.city_name O B-toloc.city_name  
list the flights from new york to miami on a tuesday which are nonstop and cost less than DIGITDIGITDIGIT dollars  ,<NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> B-city_name I-city_name <NOTABLE> B-city_name <NOTABLE> <NOTABLE> B-day_name <NOTABLE> <NOTABLE> B-flight_stop <NOTABLE> <NOTABLE> B-less <NOTABLE> B-fare_amount I-fare_amount  ,O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O B-depart_date.day_name O O B-flight_stop O O B-cost_relative O B-fare_amount I-fare_amount  
show me the first flight that arrives in toronto from cincinnati  ,<NOTABLE> <NOTABLE> <NOTABLE> B-first <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> B-city_name <NOTABLE> B-city_name  ,O O O B-flight_mod O O O O B-toloc.city_name O B-fromloc.city_name  
what planes are used by twa  ,<NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> B-airline_code  ,O O O O O B-airline_code  
please give me the prices for all flights from philadelphia to denver airport next sunday  ,<NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> B-city_name <NOTABLE> B-airport_name I-airport_name B-next B-day_name  ,O O O O O O O O O B-fromloc.city_name O B-toloc.airport_name I-toloc.airport_name B-depart_date.date_relative B-depart_date.day_name  
show me all flights from pittsburgh to oakland that arrive after DIGITDIGIT am  ,<NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> B-city_name <NOTABLE> B-city_name <NOTABLE> <NOTABLE> B-after B-time I-time  ,O O O O O B-fromloc.city_name O B-toloc.city_name O O B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time  
what is the least expensive flight today from atlanta to san francisco  ,<NOTABLE> <NOTABLE> <NOTABLE> B-cost_relative I-cost_relative <NOTABLE> B-today_relative <NOTABLE> B-city_name <NOTABLE> B-city_name I-city_name  ,O O O B-cost_relative I-cost_relative O B-depart_date.today_relative O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name  
i want a flight from philadelphia to dallas with a stop in atlanta  ,<NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> B-city_name <NOTABLE> B-city_name <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> B-city_name  ,O O O O O B-fromloc.city_name O B-toloc.city_name O O O O B-stoploc.city_name  
show me the flights from baltimore to philadelphia  ,<NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> B-city_name <NOTABLE> B-city_name  ,O O O O O B-fromloc.city_name O B-toloc.city_name  
what airlines fly from st. petersburg to milwaukee and from milwaukee to tacoma  ,<NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> B-city_name I-city_name <NOTABLE> B-city_name <NOTABLE> <NOTABLE> B-city_name <NOTABLE> B-city_name  ,O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O B-fromloc.city_name O B-toloc.city_name  
please give me the flights from san francisco to washington dc  ,<NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> B-city_name I-city_name <NOTABLE> B-city_name B-state_code  ,O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name B-toloc.state_code  
i need a flight delta airlines kansas city to salt lake  ,<NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> B-airline_name I-airline_name B-city_name I-city_name <NOTABLE> B-city_name I-city_name  ,O O O O B-airline_name I-airline_name B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name  
show me flights going from boston to denver arriving on wednesday morning  ,<NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> B-city_name <NOTABLE> B-city_name <NOTABLE> <NOTABLE> B-day_name B-period_of_day  ,O O O O O B-fromloc.city_name O B-toloc.city_name O O B-arrive_date.day_name B-arrive_time.period_of_day  
show me flights leaving from denver colorado to pittsburgh pennsylvania on wednesdays after DIGIT pm  ,<NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> B-city_name B-state_name <NOTABLE> B-city_name B-state_name <NOTABLE> B-day_name B-after B-time I-time  ,O O O O O B-fromloc.city_name B-fromloc.state_name O B-toloc.city_name B-toloc.state_name O B-depart_date.day_name B-depart_time.time_relative B-depart_time.time I-depart_time.time  
i need an early flight from denver to san francisco please and i would like breakfast served on that  ,<NOTABLE> <NOTABLE> <NOTABLE> B-early <NOTABLE> <NOTABLE> B-city_name <NOTABLE> B-city_name I-city_name <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> B-meal_description <NOTABLE> <NOTABLE> <NOTABLE>  ,O O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O O O B-meal_description O O O  
show me all flights from boston to denver  ,<NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> B-city_name <NOTABLE> B-city_name  ,O O O O O B-fromloc.city_name O B-toloc.city_name  
baltimore to philadelphia  ,B-city_name <NOTABLE> B-city_name  ,B-fromloc.city_name O B-toloc.city_name  
i want to depart washington april twentieth to atlanta least expensive fare  ,<NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> B-city_name B-month_name B-day_number <NOTABLE> B-city_name B-cost_relative I-cost_relative <NOTABLE>  ,O O O O B-fromloc.city_name B-depart_date.month_name B-depart_date.day_number O B-toloc.city_name B-cost_relative I-cost_relative O  
can you show me evening flights from nashville to houston that serve dinner  ,<NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> B-period_of_day <NOTABLE> <NOTABLE> B-city_name <NOTABLE> B-city_name <NOTABLE> <NOTABLE> B-meal_description  ,O O O O B-depart_time.period_of_day O O B-fromloc.city_name O B-toloc.city_name O O B-meal_description  
all right what i 'd like to do is find the cheapest one way fare from boston to denver  ,<NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> B-cost_relative B-round_trip I-round_trip <NOTABLE> <NOTABLE> B-city_name <NOTABLE> B-city_name  ,O O O O O O O O O O O B-cost_relative B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name  
now i need another flight from las vegas to los angeles arriving also in the late afternoon what 's available for that  ,<NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> B-city_name I-city_name <NOTABLE> B-city_name I-city_name <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> B-period_of_day I-period_of_day <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE>  ,O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O O B-arrive_time.period_of_day I-arrive_time.period_of_day O O O O O  
fares from dallas to baltimore  ,<NOTABLE> <NOTABLE> B-city_name <NOTABLE> B-city_name  ,O O B-fromloc.city_name O B-toloc.city_name  
what are the early weekday flights from san francisco to pittsburgh  ,<NOTABLE> <NOTABLE> <NOTABLE> B-early <NOTABLE> <NOTABLE> <NOTABLE> B-city_name I-city_name <NOTABLE> B-city_name  ,O O O B-flight_mod O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name  
